"latitude","longitude","trophic_state"
53.875399,-124.755299,"Mesotrophic"
54.186152,-125.428674,"Mesotrophic"
53.977642,-125.898396,"Eutrophic"
53.810107,-125.913779,"Mesotrophic"
53.9938,-125.981445,"Eutrophic"
53.966067,-125.944652,"Eutrophic"
53.938458,-125.907128,"Eutrophic"
53.957671,-125.714231,"Mesotrophic"
54.049179,-123.018163,"Oligotrophic"
54.120806,-123.004988,"Eutrophic"
54.064509,-123.007832,"Mesotrophic"
54.008382,-123.135854,"Eutrophic"
53.90613,-124.137247,"Eutrophic"
52.118825,-122.075003,"Eutrophic"
52.086749,-121.952157,"Eutrophic"
52.000623,-122.173033,"Eutrophic"
51.571867,-123.893069,"Oligotrophic"
51.473574,-123.887461,"Oligotrophic"
52.15161,-124.512345,"Mesotrophic"
52.340193,-125.204735,"Eutrophic"
52.341465,-122.236095,"Oligotrophic"
52.011725,-125.008155,"Mesotrophic"
51.83278,-120.388941,"Oligotrophic"
51.491893,-120.341789,"Oligotrophic"
51.501772,-120.751359,"Oligotrophic"
51.530721,-120.678772,"Mesotrophic"
51.592882,-120.764438,"Oligotrophic"
53.035093,-122.626301,"Eutrophic"
54.398593,-126.023267,"Mesotrophic"
53.95755,-124.191784,"Eutrophic"
54.574531,-123.807885,"Eutrophic"
55.120772,-125.196624,"Mesotrophic"
55.131569,-124.482396,"Oligotrophic"
55.334542,-125.318096,"Oligotrophic"
54.035583,-125.040308,"Oligotrophic"
54.051353,-124.777216,"Eutrophic"
54.168663,-124.208658,"Eutrophic"
53.607447,-123.488697,"Mesotrophic"
53.539827,-122.942903,"Eutrophic"
51.234899,-120.718194,"Mesotrophic"
51.734097,-121.352237,"Oligotrophic"
51.850947,-121.33891,"Oligotrophic"
53.916375,-122.54217,"Mesotrophic"
55.084266,-123.038133,"Mesotrophic"
54.115384,-122.064291,"Mesotrophic"
49.67651,-117.658481,"Oligotrophic"
54.416617,-122.618301,"Oligotrophic"
54.67022,-123.558782,"Mesotrophic"
54.269426,-122.616376,"Mesotrophic"
54.450825,-122.695605,"Mesotrophic"
54.277084,-122.678241,"Mesotrophic"
52.996317,-123.60365,"Oligotrophic"
52.94939,-122.420822,"Oligotrophic"
53.268784,-122.097099,"Mesotrophic"
53.149595,-121.534574,"Oligotrophic"
49.044741,-122.310811,"Eutrophic"
49.243327,-122.946538,"Mesotrophic"
49.236235,-122.97178,"Oligotrophic"
49.647232,-124.02279,"Oligotrophic"
49.613256,-124.023197,"Mesotrophic"
50.114032,-122.981403,"Oligotrophic"
50.215541,-122.490763,"Mesotrophic"
50.151407,-122.931788,"Oligotrophic"
55.024461,-127.346246,"Eutrophic"
54.934739,-127.55412,"Oligotrophic"
54.381312,-128.559744,"Oligotrophic"
54.209495,-130.147927,"Oligotrophic"
49.443092,-122.020294,"Oligotrophic"
56.051194,-129.902444,"Oligotrophic"
55.83382,-128.830233,"Oligotrophic"
55.649296,-128.644809,"Oligotrophic"
55.047296,-128.993528,"Oligotrophic"
54.766909,-128.785448,"Oligotrophic"
55.445634,-129.353516,"Oligotrophic"
55.446225,-129.334999,"Oligotrophic"
55.4549,-129.36962,"Oligotrophic"
54.614901,-128.7178,"Oligotrophic"
54.9301,-127.513355,"Mesotrophic"
49.008293,-122.35186,"Mesotrophic"
48.526599,-123.397351,"Mesotrophic"
48.513468,-123.441651,"Oligotrophic"
48.467719,-123.4691,"Mesotrophic"
48.784186,-123.425023,"Mesotrophic"
48.815816,-123.468563,"Oligotrophic"
48.890443,-123.542531,"Oligotrophic"
48.772668,-123.300605,"Oligotrophic"
48.763747,-123.288779,"Eutrophic"
48.448187,-123.529102,"Mesotrophic"
48.437398,-123.522473,"Mesotrophic"
